Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2017-11-01,6463.0,6774.67,6338.02,6753.98,1675.615188,10951171.07254041,16775,681.76242400,4456444.95893702,0
2017-11-02,6753.98,7300.0,6685.1,7019.98,2503.610803,17369001.33091877,20222,1152.04304200,8002005.80575711,0
2017-11-03,7010.31,7346.34,6923.0,7115.04,1891.497592,13614451.74654126,15375,790.18634400,5689002.21482195,0
2017-11-04,7115.02,7480.99,6901.0,7357.09,1399.191767,10064538.39659038,13395,638.38726800,4597312.95311455,0
2017-11-05,7357.27,7590.25,7279.02,7345.01,1207.83233,9000403.86573288,11090,540.67519500,4027338.87761942,0
2017-11-06,7345.1,7401.0,6906.0,6960.12,1763.019261,12673524.6216398,13525,730.00378700,5258426.96569148,0
2017-11-07,6981.72,7198.49,6901.0,7064.04,1440.259494,10173272.33780804,13132,591.18799200,4181187.39303234,0
2017-11-08,7070.0,7770.02,6651.0,7303.0,2822.298802,20491286.19840822,24381,1291.34447200,9394534.42380506,0
2017-11-09,7303.01,7392.0,7015.0,7079.99,1913.398308,13798534.34721742,13818,724.15487800,5221300.62862515,0
2017-11-10,7079.0,7279.91,6255.01,6506.98,3254.704105,22083345.18396158,18889,1565.26143900,10594456.21115611,0
2017-11-11,6503.0,6797.98,6100.0,6245.05,2754.156861,17681445.46474999,17840,1127.47614800,7260382.61767693,0
2017-11-12,6245.05,6630.0,5325.01,5811.03,4968.483069,29711508.60084671,31069,2267.41074400,13607604.41635319,0
2017-11-13,5839.94,6697.47,5699.99,6465.99,2621.243039,16498136.09913936,16165,1299.99691900,8190123.54546063,0
2017-11-14,6465.99,6684.98,6311.07,6574.99,1254.292531,8168729.97122799,10476,612.13620200,3991112.73071270,0
2017-11-15,6575.99,7298.0,6575.99,7240.06,1779.605845,12446186.45092821,10313,958.59199000,6705958.03258740,0
2017-11-16,7240.14,7940.0,7076.0,7864.5,2331.95675,17499577.25815967,14961,1196.41071700,8973214.57023640,0
2017-11-17,7876.98,7989.0,7451.0,7699.19,3982.395925,31024092.61951179,22012,1910.20823700,14893068.96849563,0
2017-11-18,7680.01,7819.99,7422.0,7761.94,3954.266477,30334498.31525712,18383,1891.34032400,14512569.88845333,0
2017-11-19,7761.94,8123.15,7650.33,8038.0,3867.340444,30322635.7689457,14897,2097.61334600,16448877.84771707,0
2017-11-20,8057.11,8319.99,7954.0,8212.0,3886.634348,31567135.38731295,20101,1816.36633900,14741452.72913412,0
2017-11-21,8212.49,8400.0,7801.0,8119.51,4544.474016,37074997.58090905,20798,2222.29121500,18131894.11366924,0
2017-11-22,8091.09,8322.68,8091.09,8205.92,3545.00571,29124078.47217724,14752,1823.86037400,14992767.17647145,0
2017-11-23,8233.03,8260.0,8000.0,8019.99,4093.952687,33400702.99957629,16625,2163.75513100,17665030.24869222,0
2017-11-24,8019.97,8369.0,7850.0,8138.0,4411.789112,35840264.45804051,19754,2166.42527500,17613353.73937526,0
2017-11-25,8138.99,8734.78,8090.0,8700.01,4292.623682,36093005.20140187,18632,2294.92330000,19306904.20494265,0
2017-11-26,8700.04,9350.0,8604.72,9128.02,4147.380237,37138533.83941873,19268,2035.29175500,18226481.88953511,0
